SoilSymbol,Pasture Group,Organic Matter,pH,Unimproved,Poor,Favorable,Improved,Good,Favorable,Temp Regime,Moisture Regime,% nonproductive,Map Unit Name
8,0,0,7,0,0,0,0,0,0,,,,"Lava flows-Cinder land complex, 2 to 40 percent slopes, MLRA 161A"
10,0,0,7,0,0,0,0,0,0,,,% 0 prod (lava or RB etc),"Lava flows, `a`a, 2 to 20 percent slopes"
11,0,0,7,0,0,0,0,0,0,,,,"Lava flows, `a`a, 20 to 40 percent slopes"
12,0,,,0,0,0,0,0,0,,,,"Lava flows, pahoehoe, 2 to 20 percent slopes"
13,0,,,0,0,0,0,0,0,,,,"Lava flows, pahoehoe, 20 to 40 percent slopes"
14,0,0,7,0,0,0,0,0,0,,,,"Lava flows complex, 2 to 20 percent slopes"
15,0,0,6.7,0,0,0,0,0,0,,,,"Cinder land, 2 to 20 percent slopes"
16,0,0,6.7,0,0,0,0,0,0,,,,"Cinder land, 20 to 40 percent slopes"
17,0,,,0,0,0,0,0,0,,,,"Dumps, sanitary landfill"
19,0,,,0,0,0,0,0,0,,,,"Riverwash, 2 to 10 percent slopes"
20,0,,,0,0,0,0,0,0,,,,"Beaches, 0 to 6 percent slopes"
21,0,,,0,0,0,0,0,0,,,,"Dune land, 2 to 20 percent slopes"
22,0,,,0,0,0,0,0,0,,,,"Pits, quarry"
23,0,,,0,0,0,0,0,0,,,,"Water, sewage treatment"
24,0,,,0,0,0,0,0,0,,,,"Badland, geothermal, 2 to 40 percent slopes"
25,0,,,0,0,0,0,0,0,,,,"Badland, 10 to 50 percent slopes"
26,0,,,0,0,0,0,0,0,,,,"Lava flows association, 40 to 99 percent slopes"
27,0,,,0,0,0,0,0,0,,,,"Dumps, fill land, 0 to 3 percent slopes"
100,6,18.63,6.9,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,,"Kaimu extremely cobbly highly decomposed plant material, 2 to 10 percent slopes"
101,6,18.63,6.9,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,,"Kaimu extremely cobbly highly decomposed plant material, 10 to 20 percent slopes"
102,6,18.63,6.9,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,35%,"Kaimu-Lava flows complex, 2 to 10 percent slopes"
103,6,18.63,6.9,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,35%,"Kaimu-Lava flows complex, 10 to 20 percent slopes"
104,6,0,7,4000,5000,6000,8000,12000,16000,,,60%,"Lava flows-Kaimu complex, 2 to 20 percent slopes"
107,0,,,0,0,0,0,0,0,,,,"Lava flows-Honokohau complex, 2 to 20 percent slopes"
108,6,5.81,7.1,4000,5000,6000,8000,12000,16000,isohyperthermic ,aridic,40%,"Noio-Lava flows complex, 2 to 10 percent slopes"
109,6,5.81,7.1,4000,5000,6000,8000,12000,16000,isohyperthermic ,aridic,40%,"Noio-Lava flows complex, 10 to 20 percent slopes"
110,14,26.34,6,1000,1500,2000,2500,3250,4000,isothermic,udic,,"Puna and Haplic Udarents soils, 2 to 10 percent slopes"
111,14,26.34,6,1000,1500,2000,2500,3250,4000,isothermic,udic,,"Puna and Haplic Udarents soils, 10 to 20 percent slopes"
112,14,26.34,6,1000,1500,2000,2500,3250,4000,isothermic,udic,35%,"Puna-Lava flows complex, 2 to 10 percent slopes"
113,14,26.34,6,1000,1500,2000,2500,3250,4000,isothermic,udic,35%,"Puna-Lava flows complex, 10 to 20 percent slopes"
114,14,26.34,6,1000,1500,2000,2500,3250,4000,isothermic,udic,,"Puna very cobbly highly decomposed plant material, 20 to 40 percent slopes"
115,5,15.74,6.8,4000,5000,6000,8000,12000,16000,isothermic,ustic,,"Kapua and Haplic Ustarents soils, 2 to 10 percent slopes"
116,5,15.74,6.8,4000,5000,6000,8000,12000,16000,isothermic,ustic,,"Kapua and Haplic Ustarents soils, 10 to 20 percent slopes"
117,5,15.74,6.8,4000,5000,6000,8000,12000,16000,isothermic,ustic,35%,"Kapua-Lava flows complex, 2 to 10 percent slopes"
118,5,15.74,6.8,4000,5000,6000,8000,12000,16000,isothermic,ustic,35%,"Kapua-Lava flows complex, 10 to 20 percent slopes"
119,14,50,6.1,1000,1500,2000,2500,3250,4000,isomesic ,ustic,35%,"Puuiki-Lava flows complex, moist, 10 to 20 percent slopes"
120,6,50,7.6,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,,"Punaluu highly decomposed plant material, 2 to 10 percent slopes"
121,6,50,7.6,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,35%,"Punaluu-Lava flows complex, 2 to 10 percent slopes"
122,6,50,7.6,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,35%,"Punaluu-Lava flows complex, 10 to 20 percent slopes"
123,6,,,4000,5000,6000,8000,12000,16000,,,70%,"Lava flows-Punaluu complex, 2 to 20 percent slopes"
124,6,50,7.6,4000,5000,6000,8000,12000,16000,isohyperthermic ,ustic,,"Punaluu highly decomposed plant material, 10 to 20 percent slopes"
125,14,,,1000,1500,2000,2500,3250,4000,,,70%,"Lava flows-Puuiki complex, moist, 2 to 20 percent slopes"
126,5,50,6.4,4000,5000,6000,8000,12000,16000,isothermic,udic,35%,"Kali-Lava flows complex, 10 to 20 percent slopes"
127,14,50,6.1,1000,1500,2000,2500,3250,4000,isomesic ,ustic,35%,"Puuiki-Lava flows complex, moist, 20 to 50 percent slopes"
129,14,50,6.1,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Puuiki-Kamawai complex, moist, 10 to 20 percent slopes"
130,14,50,6.6,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Mawae very cobbly highly decomposed plant material, 2 to 10 percent slopes"
131,14,50,6.6,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Mawae very cobbly highly decomposed plant material, 10 to 20 percent slopes"
132,0,50,6.6,0,0,0,0,0,0,isomesic ,ustic,,"Mawae-Lava flows complex, 2 to 10 percent slopes"
133,0,50,6.6,0,0,0,0,0,0,isomesic ,ustic,,"Mawae-Lava flows complex, 10 to 20 percent slopes"
134,14,35,6.1,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Kamawai-Puuiki complex, moist, 2 to 10 percent slopes"
135,14,50,5.4,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Kekake gravelly highly decomposed plant material, 2 to 10 percent slopes"
136,14,50,5.4,1000,1500,2000,2500,3250,4000,isomesic ,ustic,,"Kekake gravelly highly decomposed plant material, 10 to 20 percent slopes"
137,14,50,5.4,1000,1500,2000,2500,3250,4000,isomesic ,ustic,35%,"Kekake-Lava flows complex, 2 to 10 percent slopes"
138,14,50,5.4,1000,1500,2000,2500,3250,4000,isomesic ,ustic,35%,"Kekake-Lava flows complex, 10 to 25 percent slopes"
