,Month,Temp,Year,datetime
0,1.0,69.47871093750001,,1990-01-01
1,2.0,67.59013129340278,,1990-02-01
2,3.0,69.34319118923611,,1990-03-01
3,4.0,72.30518663194445,,1990-04-01
4,5.0,71.68886176215278,,1990-05-01
5,6.0,73.14071723090278,,1990-06-01
6,7.0,74.48021918402777,,1990-07-01
7,8.0,76.12248806423611,,1990-08-01
8,9.0,75.48646918402778,,1990-09-01
9,10.0,73.89625379774306,,1990-10-01
10,11.0,71.77850477430556,,1990-11-01
11,12.0,68.58509928385416,,1990-12-01
12,1.0,69.84288736979167,,1991-01-01
13,2.0,71.84501410590278,,1991-02-01
14,3.0,67.18821343315972,,1991-03-01
15,4.0,70.09159613715278,,1991-04-01
16,5.0,71.61897515190972,,1991-05-01
17,6.0,72.25364583333334,,1991-06-01
18,7.0,74.32076280381945,,1991-07-01
19,8.0,74.07406684027778,,1991-08-01
20,9.0,75.85619574652779,,1991-09-01
21,10.0,74.86598307291666,,1991-10-01
22,11.0,74.26649305555556,,1991-11-01
23,12.0,70.78926866319443,,1991-12-01
24,1.0,70.44179958767361,,1992-01-01
25,2.0,69.9932400173611,,1992-02-01
26,3.0,70.46159939236111,,1992-03-01
27,4.0,70.9091037326389,,1992-04-01
28,5.0,73.50780707465279,,1992-05-01
29,6.0,71.84331597222223,,1992-06-01
30,7.0,72.16650933159723,,1992-07-01
31,8.0,72.14905870225695,,1992-08-01
32,9.0,73.60358615451389,,1992-09-01
33,10.0,74.68323296440971,,1992-10-01
34,11.0,71.94091254340279,,1992-11-01
35,12.0,70.35754123263888,,1992-12-01
36,1.0,68.48199327256944,,1993-01-01
37,2.0,67.32240939670139,,1993-02-01
38,3.0,67.85450303819445,,1993-03-01
39,4.0,70.08060438368057,,1993-04-01
40,5.0,69.77042643229167,,1993-05-01
41,6.0,71.14093424479167,,1993-06-01
42,7.0,71.99835069444444,,1993-07-01
43,8.0,73.262353515625,,1993-08-01
44,9.0,74.42701822916666,,1993-09-01
45,10.0,73.48059353298612,,1993-10-01
46,11.0,70.99775933159722,,1993-11-01
47,12.0,69.28736165364583,,1993-12-01
48,1.0,68.67825249565973,,1994-01-01
49,2.0,69.30741644965278,,1994-02-01
50,3.0,67.78640407986111,,1994-03-01
51,4.0,67.7445068359375,,1994-04-01
52,5.0,70.59163411458333,,1994-05-01
53,6.0,69.91779513888889,,1994-06-01
54,7.0,72.72815212673612,,1994-07-01
55,8.0,72.88523220486111,,1994-08-01
56,9.0,73.61602647569444,,1994-09-01
57,10.0,73.66189236111111,,1994-10-01
58,11.0,69.08466254340277,,1994-11-01
59,12.0,69.24716254340278,,1994-12-01
60,1.0,71.23840874565971,,1995-01-01
61,2.0,70.18525933159722,,1995-02-01
62,3.0,71.83810221354167,,1995-03-01
63,4.0,70.64090711805557,,1995-04-01
64,5.0,71.53277723524306,,1995-05-01
65,6.0,73.5560763888889,,1995-06-01
66,7.0,74.44174533420139,,1995-07-01
67,8.0,74.05000542534722,,1995-08-01
68,9.0,75.29059787326389,,1995-09-01
69,10.0,74.00696885850695,,1995-10-01
70,11.0,73.12674967447917,,1995-11-01
71,12.0,73.06246744791667,,1995-12-01
72,1.0,70.34582790798612,,1996-01-01
73,2.0,67.98658854166666,,1996-02-01
74,3.0,68.94386935763889,,1996-03-01
75,4.0,72.00345594618057,,1996-04-01
76,5.0,73.12740614149305,,1996-05-01
77,6.0,72.64340277777778,,1996-06-01
78,7.0,72.61546766493055,,1996-07-01
79,8.0,73.91253797743056,,1996-08-01
80,9.0,72.79886338975695,,1996-09-01
81,10.0,74.59297960069445,,1996-10-01
