,Month,Temp,Year,datetime
0,1.0,63.81395670572917,,1990-01-01
1,2.0,60.97363009982639,,1990-02-01
2,3.0,61.61588270399306,,1990-03-01
3,4.0,64.43493381076388,,1990-04-01
4,5.0,65.77576497395833,,1990-05-01
5,6.0,66.9110080295139,,1990-06-01
6,7.0,67.01377495659722,,1990-07-01
7,8.0,68.21252983940973,,1990-08-01
8,9.0,67.9832004123264,,1990-09-01
9,10.0,67.33540852864584,,1990-10-01
10,11.0,65.413623046875,,1990-11-01
11,12.0,62.797094726562506,,1990-12-01
12,1.0,60.32038031684028,,1991-01-01
13,2.0,61.052799479166666,,1991-02-01
14,3.0,61.80364854600695,,1991-03-01
15,4.0,63.52673068576389,,1991-04-01
16,5.0,65.25732421875,,1991-05-01
17,6.0,65.9320827907986,,1991-06-01
18,7.0,66.97652994791667,,1991-07-01
19,8.0,69.20571831597222,,1991-08-01
20,9.0,68.47282172309028,,1991-09-01
21,10.0,68.02213812934028,,1991-10-01
22,11.0,67.35658365885416,,1991-11-01
23,12.0,65.23736707899306,,1991-12-01
24,1.0,60.635074869791666,,1992-01-01
25,2.0,60.28368326822917,,1992-02-01
26,3.0,62.25016547309028,,1992-03-01
27,4.0,61.78691134982639,,1992-04-01
28,5.0,64.25432942708333,,1992-05-01
29,6.0,67.78374294704861,,1992-06-01
30,7.0,68.0254638671875,,1992-07-01
31,8.0,68.57793511284723,,1992-08-01
32,9.0,68.7006374782986,,1992-09-01
33,10.0,66.50204264322917,,1992-10-01
34,11.0,65.03074001736111,,1992-11-01
35,12.0,65.89315592447917,,1992-12-01
36,1.0,58.94365505642361,,1993-01-01
37,2.0,58.030818684895834,,1993-02-01
38,3.0,60.54532877604167,,1993-03-01
39,4.0,64.44007161458333,,1993-04-01
40,5.0,64.23362901475694,,1993-05-01
41,6.0,66.68451334635417,,1993-06-01
42,7.0,67.14153917100694,,1993-07-01
43,8.0,67.72923719618056,,1993-08-01
44,9.0,67.48075629340278,,1993-09-01
45,10.0,66.70218370225695,,1993-10-01
46,11.0,65.37041829427083,,1993-11-01
47,12.0,64.20696614583333,,1993-12-01
48,1.0,61.05435112847222,,1994-01-01
49,2.0,63.423038736979166,,1994-02-01
50,3.0,62.292415364583334,,1994-03-01
51,4.0,63.98703884548611,,1994-04-01
52,5.0,65.72275119357639,,1994-05-01
53,6.0,67.03040093315973,,1994-06-01
54,7.0,68.98623046875,,1994-07-01
55,8.0,69.51966417100695,,1994-08-01
56,9.0,69.14499782986111,,1994-09-01
57,10.0,68.0302978515625,,1994-10-01
58,11.0,67.32734375,,1994-11-01
59,12.0,64.05455457899305,,1994-12-01
60,1.0,62.02134874131944,,1995-01-01
61,2.0,61.35496961805556,,1995-02-01
62,3.0,62.98032497829861,,1995-03-01
63,4.0,63.601207139756944,,1995-04-01
64,5.0,64.91860080295139,,1995-05-01
65,6.0,67.04128689236111,,1995-06-01
66,7.0,68.02773980034723,,1995-07-01
67,8.0,68.3082275390625,,1995-08-01
68,9.0,67.41866590711805,,1995-09-01
69,10.0,67.63957519531249,,1995-10-01
70,11.0,65.59058702256945,,1995-11-01
71,12.0,64.81650390625,,1995-12-01
72,1.0,62.44462348090278,,1996-01-01
73,2.0,60.211423068576394,,1996-02-01
74,3.0,61.08909505208334,,1996-03-01
75,4.0,64.87358669704861,,1996-04-01
76,5.0,65.37993977864583,,1996-05-01
77,6.0,67.32896050347222,,1996-06-01
78,7.0,68.80293511284722,,1996-07-01
79,8.0,68.60782606336805,,1996-08-01
80,9.0,68.50037706163195,,1996-09-01
