,oldMonth,OldTemp,Month,Temp
0,January,66.32474005863325,February,65.95885335746159
1,February,65.95885335746159,March,66.56159058263448
2,March,66.56159058263448,April,67.59320070276313
3,April,67.59320070276313,May,69.03971779626397
4,May,69.03971779626397,June,70.18478203190723
5,June,70.18478203190723,July,71.24761798332702
6,July,71.24761798332702,August,71.8252942939667
7,August,71.8252942939667,September,71.55095498478711
8,September,71.55095498478711,October,70.96761765182957
9,October,70.96761765182957,November,69.37928385858571
10,November,69.37928385858571,December,67.40403581418373
11,December,67.40403581418373,January,66.32474005863325
