,oldMonth,oldNDVI,Month,NDVI
0,January,0.5527919642857143,January,0.5527919642857143
1,February,0.5148149456521739,February,0.5148149456521739
2,March,0.480571074879227,March,0.480571074879227
3,April,0.419587922705314,April,0.419587922705314
4,May,0.39034126157407406,May,0.39034126157407406
5,June,0.4253925120772947,June,0.4253925120772947
6,July,0.5295030960648148,July,0.5295030960648148
7,August,0.530193287037037,August,0.530193287037037
8,September,0.5069857060185186,September,0.5069857060185186
9,October,0.585260474537037,October,0.585260474537037
10,November,0.5675751157407408,November,0.5675751157407408
11,December,0.5761290157004831,December,0.5761290157004831
