Year,Month,tmean_f,datetime
1990,1,55.83373209635417,1990-01-01
1990,2,52.963963487413196,1990-02-01
1990,3,53.71830376519097,1990-03-01
1990,4,55.636499023437494,1990-04-01
1990,5,56.74855143229166,1990-05-01
1990,6,57.94417046440972,1990-06-01
1990,7,59.43486599392361,1990-07-01
1990,8,60.51754828559028,1990-08-01
1990,9,61.10985243055556,1990-09-01
1990,10,59.396747504340276,1990-10-01
1990,11,59.723904079861114,1990-11-01
1990,12,55.56780870225694,1990-12-01
1991,1,52.34418538411458,1991-01-01
1991,2,53.564752875434024,1991-02-01
1991,3,54.683818901909724,1991-03-01
1991,4,55.054150390625,1991-04-01
1991,5,56.19486762152778,1991-05-01
1991,6,56.90297037760416,1991-06-01
1991,7,58.35318196614583,1991-07-01
1991,8,61.32079264322917,1991-08-01
1991,9,58.63619249131945,1991-09-01
1991,10,56.64105088975695,1991-10-01
1991,11,57.19208441840278,1991-11-01
1991,12,55.25190158420139,1991-12-01
1992,1,51.281032986111114,1992-01-01
1992,2,52.13907063802083,1992-02-01
1992,3,53.288152398003476,1992-03-01
1992,4,53.88597140842014,1992-04-01
1992,5,56.967418077256944,1992-05-01
1992,6,59.65188530815972,1992-06-01
1992,7,60.319666883680554,1992-07-01
1992,8,61.27175835503472,1992-08-01
1992,9,61.819300672743054,1992-09-01
1992,10,60.090082465277774,1992-10-01
1992,11,58.978328450520834,1992-11-01
1992,12,56.80482584635417,1992-12-01
1993,1,52.36490885416667,1993-01-01
1993,2,51.66530219184028,1993-02-01
1993,3,53.87097846137153,1993-03-01
1993,4,56.115475802951394,1993-04-01
1993,5,56.09937337239583,1993-05-01
1993,6,58.4154052734375,1993-06-01
1993,7,59.94534233940972,1993-07-01
1993,8,60.270258246527774,1993-08-01
1993,9,59.930615234375,1993-09-01
1993,10,58.84382052951389,1993-10-01
1993,11,55.66911078559028,1993-11-01
1993,12,53.34286295572917,1993-12-01
1994,1,51.71858723958333,1994-01-01
1994,2,54.685862901475694,1994-02-01
1994,3,54.30618896484375,1994-03-01
1994,4,55.49517686631945,1994-04-01
1994,5,56.83770073784722,1994-05-01
1994,6,58.32557508680556,1994-06-01
1994,7,61.28244900173611,1994-07-01
1994,8,61.17055121527778,1994-08-01
1994,9,60.99447699652778,1994-09-01
1994,10,58.363682725694446,1994-10-01
1994,11,58.48502604166667,1994-11-01
1994,12,54.058680555555554,1994-12-01
1995,1,53.799616156684024,1995-01-01
1995,2,53.06514756944445,1995-02-01
1995,3,55.24842122395833,1995-03-01
1995,4,56.06165364583333,1995-04-01
1995,5,57.078955078125,1995-05-01
1995,6,58.025390625,1995-06-01
1995,7,59.831334092881946,1995-07-01
1995,8,59.678426106770836,1995-08-01
1995,9,58.652460394965274,1995-09-01
1995,10,59.36342230902778,1995-10-01
1995,11,58.28916558159722,1995-11-01
1995,12,56.52435167100695,1995-12-01
1996,1,56.16137966579861,1996-01-01
1996,2,53.80295681423611,1996-02-01
1996,3,54.10962049696181,1996-03-01
1996,4,57.25835503472222,1996-04-01
1996,5,59.091609700520834,1996-05-01
1996,6,60.01043023003472,1996-06-01
1996,7,60.79053005642361,1996-07-01
1996,8,60.09747178819444,1996-08-01
1996,9,60.53386501736111,1996-09-01
1996,10,59.795589192708334,1996-10-01
1996,11,59.72189398871528,1996-11-01
1996,12,56.15217013888889,1996-12-01
1997,1,54.968288845486114,1997-01-01
1997,2,53.99784884982639,1997-02-01
1997,3,56.21266004774306,1997-03-01
1997,4,55.864404296875,1997-04-01
1997,5,57.40518120659722,1997-05-01
1997,6,60.26570909288195,1997-06-01
1997,7,60.574579535590274,1997-07-01
1997,8,59.91211751302083,1997-08-01
1997,9,60.727001953125,1997-09-01
1997,10,58.929844835069446,1997-10-01
1997,11,57.4568603515625,1997-11-01
1997,12,54.560826280381946,1997-12-01
1998,1,53.07318386501736,1998-01-01
1998,2,52.988562011718756,1998-02-01
1998,3,54.428309461805554,1998-03-01
1998,4,55.481258138020834,1998-04-01
1998,5,55.977880859375006,1998-05-01
1998,6,57.68709581163195,1998-06-01
1998,7,58.28502061631944,1998-07-01
1998,8,59.30946451822916,1998-08-01
1998,9,59.401708984375,1998-09-01
1998,10,59.32186686197917,1998-10-01
1998,11,58.294794379340274,1998-11-01
1998,12,56.24822048611111,1998-12-01
1999,1,55.40350477430556,1999-01-01
1999,2,54.64204644097222,1999-02-01
1999,3,54.85930447048611,1999-03-01
1999,4,54.84873046875,1999-04-01
1999,5,56.80751953125,1999-05-01
1999,6,57.311252170138886,1999-06-01
1999,7,58.00150553385417,1999-07-01
1999,8,59.13884548611111,1999-08-01
1999,9,58.588511827256944,1999-09-01
1999,10,58.07465277777778,1999-10-01
1999,11,57.032237413194444,1999-11-01
1999,12,55.819797092013886,1999-12-01
2000,1,53.613636610243056,2000-01-01
2000,2,54.30367838541667,2000-02-01
2000,3,54.58157280815972,2000-03-01
2000,4,55.545016818576386,2000-04-01
2000,5,57.55354817708333,2000-05-01
2000,6,58.43148057725695,2000-06-01
2000,7,60.63197970920139,2000-07-01
2000,8,60.664073350694444,2000-08-01
2000,9,60.20111762152778,2000-09-01
2000,10,59.51419813368056,2000-10-01
2000,11,57.98392740885417,2000-11-01
2000,12,54.701786295572916,2000-12-01
2001,1,55.18807779947917,2001-01-01
2001,2,54.59762641059028,2001-02-01
2001,3,54.303857421874994,2001-03-01
2001,4,56.45663248697917,2001-04-01
2001,5,56.56199001736111,2001-05-01
2001,6,58.66981336805556,2001-06-01
2001,7,60.080531141493054,2001-07-01
2001,8,61.33509657118056,2001-08-01
2001,9,60.50812445746528,2001-09-01
2001,10,59.08637152777778,2001-10-01
2001,11,59.27719184027778,2001-11-01
2001,12,56.98082682291667,2001-12-01
2002,1,55.70340983072917,2002-01-01
2002,2,53.16036241319445,2002-02-01
2002,3,54.586431206597226,2002-03-01
2002,4,57.638148328993054,2002-04-01
2002,5,59.15326063368056,2002-05-01
2002,6,59.260498046875,2002-06-01
2002,7,60.73125271267361,2002-07-01
2002,8,61.10172797309028,2002-08-01
2002,9,59.86279296875,2002-09-01
2002,10,59.711390516493054,2002-10-01
2002,11,56.88123372395833,2002-11-01
2002,12,55.319384765625,2002-12-01
2003,1,52.850552029079864,2003-01-01
2003,2,53.40626220703125,2003-02-01
2003,3,55.47439507378472,2003-03-01
2003,4,56.783070203993056,2003-04-01
2003,5,57.28909505208333,2003-05-01
2003,6,58.891362847222226,2003-06-01
2003,7,60.67118055555555,2003-07-01
2003,8,61.22351345486111,2003-08-01
2003,9,60.042260742187494,2003-09-01
2003,10,59.5386962890625,2003-10-01
2003,11,57.99506293402778,2003-11-01
2003,12,56.67152506510416,2003-12-01
2004,1,55.27955729166666,2004-01-01
2004,2,56.64531792534722,2004-02-01
2004,3,56.735590277777774,2004-03-01
2004,4,56.82563747829862,2004-04-01
2004,5,59.60224066840278,2004-05-01
2004,6,59.78273111979166,2004-06-01
2004,7,59.85655924479167,2004-07-01
2004,8,61.03614366319445,2004-08-01
2004,9,60.197819010416666,2004-09-01
2004,10,60.107326931423614,2004-10-01
2004,11,58.74287380642361,2004-11-01
2004,12,56.04574381510417,2004-12-01
2005,1,55.550265842013886,2005-01-01
2005,2,54.51261121961806,2005-02-01
2005,3,55.51606174045139,2005-03-01
2005,4,56.63481987847222,2005-04-01
2005,5,58.24017198350695,2005-05-01
2005,6,59.59859212239583,2005-06-01
2005,7,60.78118218315973,2005-07-01
2005,8,59.900211588541666,2005-08-01
2005,9,61.418126085069446,2005-09-01
2005,10,59.073876953125,2005-10-01
2005,11,57.81770562065972,2005-11-01
2005,12,55.778317599826394,2005-12-01
2006,1,55.31684299045139,2006-01-01
2006,2,53.53946804470486,2006-02-01
2006,3,57.41793619791667,2006-03-01
2006,4,55.31985677083333,2006-04-01
2006,5,55.937977430555556,2006-05-01
2006,6,58.404269748263886,2006-06-01
2006,7,59.82768825954861,2006-07-01
2006,8,60.85937771267361,2006-08-01
2006,9,59.869189453125,2006-09-01
2006,10,60.274997287326386,2006-10-01
2006,11,58.936580403645834,2006-11-01
2006,12,56.108257378472224,2006-12-01
2007,1,55.562291124131946,2007-01-01
2007,2,53.85042453342014,2007-02-01
2007,3,55.38530002170138,2007-03-01
2007,4,54.821185980902776,2007-04-01
2007,5,56.936238606770836,2007-05-01
2007,6,58.64284125434028,2007-06-01
2007,7,60.0060302734375,2007-07-01
2007,8,59.60117730034722,2007-08-01
2007,9,59.96144748263889,2007-09-01
2007,10,58.444004991319446,2007-10-01
2007,11,57.766596137152774,2007-11-01
2007,12,57.11937662760417,2007-12-01
2008,1,53.046719021267364,2008-01-01
2008,2,53.991643608940976,2008-02-01
2008,3,55.43589680989584,2008-03-01
2008,4,56.324462890625,2008-04-01
2008,5,56.89286838107639,2008-05-01
2008,6,58.36527235243056,2008-06-01
2008,7,59.21686469184028,2008-07-01
2008,8,59.12050238715278,2008-08-01
2008,9,58.35907118055556,2008-09-01
2008,10,58.805064561631944,2008-10-01
2008,11,57.42588975694444,2008-11-01
2008,12,56.52834201388889,2008-12-01
2009,1,53.65734049479167,2009-01-01
2009,2,53.40670166015625,2009-02-01
2009,3,54.1545654296875,2009-03-01
2009,4,55.568020290798614,2009-04-01
2009,5,58.135875108506944,2009-05-01
2009,6,59.47309841579862,2009-06-01
2009,7,60.47168782552083,2009-07-01
2009,8,61.573291015625,2009-08-01
2009,9,59.892049153645836,2009-09-01
2009,10,61.03085123697917,2009-10-01
2009,11,58.738408745659726,2009-11-01
2009,12,55.639887152777774,2009-12-01
2010,1,55.285983615451386,2010-01-01
2010,2,53.647427029079864,2010-02-01
2010,3,54.73875461154513,2010-03-01
2010,4,55.67637803819444,2010-04-01
2010,5,57.62654079861112,2010-05-01
2010,6,58.492122395833334,2010-06-01
2010,7,58.6058349609375,2010-07-01
2010,8,58.96327582465278,2010-08-01
2010,9,58.42829861111112,2010-09-01
2010,10,58.80099555121528,2010-10-01
2010,11,57.47356228298611,2010-11-01
2010,12,57.02593044704861,2010-12-01
2011,1,54.98493923611112,2011-01-01
2011,2,56.11596950954861,2011-02-01
2011,3,56.61242133246528,2011-03-01
2011,4,56.79141981336805,2011-04-01
2011,5,58.398472764756946,2011-05-01
2011,6,58.916219075520836,2011-06-01
2011,7,58.25241156684028,2011-07-01
2011,8,59.43545735677083,2011-08-01
2011,9,58.54173990885417,2011-09-01
2011,10,57.858379448784724,2011-10-01
2011,11,57.77525499131944,2011-11-01
2011,12,56.00120171440972,2011-12-01
2012,1,55.18334147135417,2012-01-01
2012,2,54.2256591796875,2012-02-01
2012,3,55.2188720703125,2012-03-01
2012,4,55.81575520833333,2012-04-01
2012,5,56.642306857638886,2012-05-01
2012,6,58.45016547309028,2012-06-01
2012,7,58.616086154513894,2012-07-01
2012,8,59.583005099826394,2012-08-01
2012,9,58.712763129340274,2012-09-01
2012,10,59.49857313368055,2012-10-01
2012,11,57.13391927083333,2012-11-01
2012,12,56.735926649305554,2012-12-01
2013,1,55.14878743489584,2013-01-01
2013,2,54.11638590494792,2013-02-01
2013,3,54.57492268880208,2013-03-01
2013,4,56.52068142361111,2013-04-01
2013,5,58.907329644097224,2013-05-01
2013,6,58.84577907986112,2013-06-01
2013,7,60.18353949652778,2013-07-01
2013,8,60.285527886284726,2013-08-01
2013,9,60.025523546006944,2013-09-01
2013,10,59.994379340277774,2013-10-01
2013,11,58.81630045572916,2013-11-01
2013,12,56.863612196180554,2013-12-01
2014,1,54.47117648654514,2014-01-01
2014,2,57.53413357204861,2014-02-01
2014,3,56.624004448784724,2014-03-01
2014,4,57.34790310329861,2014-04-01
2014,5,58.55081108940972,2014-05-01
2014,6,58.42202962239584,2014-06-01
2014,7,61.08942328559027,2014-07-01
2014,8,61.074810112847224,2014-08-01
2014,9,61.51634385850694,2014-09-01
2014,10,61.67782931857639,2014-10-01
2014,11,59.041468641493054,2014-11-01
2014,12,55.622547743055556,2014-12-01
2015,1,54.06556939019097,2015-01-01
2015,2,56.13642578125,2015-02-01
2015,3,55.51311577690972,2015-03-01
2015,4,58.287044270833334,2015-04-01
2015,5,58.028049045138886,2015-05-01
2015,6,60.10482855902778,2015-06-01
2015,7,62.87742513020834,2015-07-01
2015,8,64.61612413194445,2015-08-01
2015,9,63.88171115451389,2015-09-01
2015,10,61.82765299479166,2015-10-01
2015,11,61.07447102864583,2015-11-01
2015,12,57.425868055555554,2015-12-01
2016,1,54.675043402777774,2016-01-01
2016,2,54.26304117838542,2016-02-01
2016,3,56.230967881944444,2016-03-01
2016,4,58.62010904947917,2016-04-01
2016,5,59.29275716145833,2016-05-01
2016,6,60.510799153645834,2016-06-01
2016,7,62.0736083984375,2016-07-01
2016,8,62.61759982638889,2016-08-01
2016,9,61.8667236328125,2016-09-01
2016,10,61.23522135416667,2016-10-01
2016,11,58.43854709201389,2016-11-01
2016,12,58.0316650390625,2016-12-01
2017,1,54.78093804253472,2017-01-01
2017,2,54.992588975694446,2017-02-01
2017,3,57.59390190972222,2017-03-01
2017,4,57.32743055555555,2017-04-01
2017,5,58.24601236979167,2017-05-01
2017,6,60.03466796875,2017-06-01
2017,7,61.472317165798614,2017-07-01
2017,8,61.54911838107639,2017-08-01
2017,9,60.90653754340278,2017-09-01
2017,10,61.55862630208333,2017-10-01
2017,11,58.50599500868056,2017-11-01
2017,12,54.99130316840278,2017-12-01
2018,1,55.57920193142361,2018-01-01
2018,2,56.144373914930554,2018-02-01
2018,3,56.60758463541667,2018-03-01
2018,4,59.767065429687506,2018-04-01
2018,5,59.607666015625,2018-05-01
2018,6,59.745122612847226,2018-06-01
2018,7,61.79737684461806,2018-07-01
2018,8,63.18298611111111,2018-08-01
2018,9,62.380192057291666,2018-09-01
2018,10,61.73187934027778,2018-10-01
2018,11,58.354717339409724,2018-11-01
2018,12,56.804446072048606,2018-12-01
2019,1,54.81182996961806,2019-01-01
