,Month,Temp,datetime,Year
0,1.0,70.46110026041666,1990-01-01,
1,2.0,68.58639322916667,1990-02-01,
2,3.0,69.19627821180555,1990-03-01,
3,4.0,72.9758761935764,1990-04-01,
4,5.0,72.99535590277779,1990-05-01,
5,6.0,74.37132703993055,1990-06-01,
6,7.0,75.85547417534721,1990-07-01,
7,8.0,77.45840386284723,1990-08-01,
8,9.0,77.09695095486111,1990-09-01,
9,10.0,76.00574544270833,1990-10-01,
10,11.0,73.1786349826389,1990-11-01,
11,12.0,70.41492784288195,1990-12-01,
12,1.0,69.66831597222222,1991-01-01,
13,2.0,70.60527886284723,1991-02-01,
14,3.0,68.89860026041667,1991-03-01,
15,4.0,71.46495225694444,1991-04-01,
16,5.0,73.86999782986112,1991-05-01,
17,6.0,74.69994845920138,1991-06-01,
18,7.0,76.02783203125,1991-07-01,
19,8.0,77.28200954861111,1991-08-01,
20,9.0,77.18150227864584,1991-09-01,
21,10.0,76.42876519097223,1991-10-01,
22,11.0,75.68827311197917,1991-11-01,
23,12.0,71.82020399305556,1991-12-01,
24,1.0,68.77405056423612,1992-01-01,
25,2.0,69.11829969618056,1992-02-01,
26,3.0,70.89596896701389,1992-03-01,
27,4.0,71.75118272569443,1992-04-01,
28,5.0,73.14893120659721,1992-05-01,
29,6.0,76.39078776041667,1992-06-01,
30,7.0,76.63602973090278,1992-07-01,
31,8.0,77.52035590277777,1992-08-01,
32,9.0,77.22591688368055,1992-09-01,
33,10.0,75.7342990451389,1992-10-01,
34,11.0,73.45715603298612,1992-11-01,
35,12.0,73.2172119140625,1992-12-01,
36,1.0,68.24766167534722,1993-01-01,
37,2.0,67.77998860677084,1993-02-01,
38,3.0,69.28625759548612,1993-03-01,
39,4.0,72.39949001736112,1993-04-01,
40,5.0,73.0685791015625,1993-05-01,
41,6.0,75.64933268229166,1993-06-01,
42,7.0,76.01238878038194,1993-07-01,
43,8.0,76.86377495659723,1993-08-01,
44,9.0,77.23797471788194,1993-09-01,
45,10.0,76.02763943142361,1993-10-01,
46,11.0,72.06534559461807,1993-11-01,
47,12.0,70.80854492187501,1993-12-01,
48,1.0,68.57263454861112,1994-01-01,
49,2.0,69.88976236979167,1994-02-01,
50,3.0,69.67758246527778,1994-03-01,
51,4.0,71.20798611111111,1994-04-01,
52,5.0,73.06670464409723,1994-05-01,
53,6.0,75.13443739149307,1994-06-01,
54,7.0,77.06915147569444,1994-07-01,
55,8.0,77.98250325520834,1994-08-01,
56,9.0,77.69997829861111,1994-09-01,
57,10.0,76.66388888888889,1994-10-01,
58,11.0,74.01736653645833,1994-11-01,
59,12.0,70.83852267795139,1994-12-01,
60,1.0,69.33961046006945,1995-01-01,
61,2.0,69.31061740451389,1995-02-01,
62,3.0,70.60773925781251,1995-03-01,
63,4.0,71.2603515625,1995-04-01,
64,5.0,72.75801866319443,1995-05-01,
65,6.0,74.92368706597222,1995-06-01,
66,7.0,75.9956814236111,1995-07-01,
67,8.0,77.13241644965278,1995-08-01,
68,9.0,77.40068359375,1995-09-01,
69,10.0,76.70365125868055,1995-10-01,
70,11.0,74.50514865451389,1995-11-01,
71,12.0,72.57426215277778,1995-12-01,
72,1.0,70.47745225694445,1996-01-01,
73,2.0,68.59136827256944,1996-02-01,
74,3.0,69.28761121961806,1996-03-01,
75,4.0,73.22160915798611,1996-04-01,
76,5.0,74.71239420572917,1996-05-01,
77,6.0,76.68121473524306,1996-06-01,
78,7.0,77.24547254774305,1996-07-01,
79,8.0,76.82175564236111,1996-08-01,
80,9.0,77.30770941840278,1996-09-01,
81,10.0,77.25657552083334,1996-10-01,
82,11.0,71.76082899305555,1996-11-01,
83,12.0,68.95860460069446,1996-12-01,
84,1.0,68.19415690104167,1997-01-01,
85,2.0,71.73258192274307,1997-02-01,
86,3.0,70.90149739583333,1997-03-01,
87,4.0,72.78534613715277,1997-04-01,
88,5.0,72.28250054253472,1997-05-01,
89,6.0,75.03317599826389,1997-06-01,
90,7.0,76.23658854166666,1997-07-01,
91,8.0,77.33426378038195,1997-08-01,
92,9.0,77.69862196180556,1997-09-01,
93,10.0,76.40387098524306,1997-10-01,
94,11.0,72.85029025607639,1997-11-01,
95,12.0,70.31910807291666,1997-12-01,
96,1.0,69.62679578993055,1998-01-01,
97,2.0,69.86168891059027,1998-02-01,
98,3.0,71.91852484809027,1998-03-01,
99,4.0,71.01788465711806,1998-04-01,
100,5.0,71.38760579427083,1998-05-01,
101,6.0,73.68798285590279,1998-06-01,
102,7.0,74.9562255859375,1998-07-01,
103,8.0,76.75996093750001,1998-08-01,
104,9.0,76.13450520833334,1998-09-01,
105,10.0,75.56661783854167,1998-10-01,
106,11.0,73.66120876736112,1998-11-01,
107,12.0,71.06423037129089,1998-12-01,
108,1.0,70.38745516268139,1999-01-01,
109,2.0,70.22798394265567,1999-02-01,
110,3.0,70.90087713616028,1999-03-01,
111,4.0,71.1580926748429,1999-04-01,
112,5.0,73.08243878702788,1999-05-01,
113,6.0,74.14731482963339,1999-06-01,
114,7.0,75.4930617322199,1999-07-01,
115,8.0,76.0137165509214,1999-08-01,
116,9.0,76.15295674373695,1999-09-01,
117,10.0,75.04320914821331,1999-10-01,
118,11.0,72.53126146572214,1999-11-01,
119,12.0,70.98021486362279,1999-12-01,
120,1.0,69.27369855010483,2000-01-01,
121,2.0,71.15530316453355,2000-02-01,
122,3.0,71.99512672995883,2000-03-01,
123,4.0,70.10877090963166,2000-04-01,
124,5.0,73.74162270160079,2000-05-01,
125,6.0,75.99518829438053,2000-06-01,
126,7.0,76.50514945770564,2000-07-01,
127,8.0,77.1481641016268,2000-08-01,
128,9.0,76.69361221134477,2000-09-01,
129,10.0,76.37596651461966,2000-10-01,
130,11.0,73.8638236365335,2000-11-01,
131,12.0,72.34590890753461,2000-12-01,
132,1.0,72.14127005801176,2001-01-01,
133,2.0,71.19961655950847,2001-02-01,
134,3.0,71.51056059030141,2001-03-01,
135,4.0,72.437870261153,2001-04-01,
136,5.0,73.56631986490501,2001-05-01,
137,6.0,75.26906952392582,2001-06-01,
138,7.0,76.92326456457877,2001-07-01,
139,8.0,77.31509792870264,2001-08-01,
140,9.0,77.48430396236617,2001-09-01,
141,10.0,75.4631479700561,2001-10-01,
142,11.0,73.87827605648235,2001-11-01,
143,12.0,72.5598371325753,2001-12-01,
144,1.0,70.97911700144556,2002-01-01,
145,2.0,69.50493093092561,2002-02-01,
146,3.0,70.66521705818195,2002-03-01,
147,4.0,73.12972824423252,2002-04-01,
148,5.0,74.75200191564572,2002-05-01,
149,6.0,76.45668727235307,2002-06-01,
150,7.0,76.59580274982768,2002-07-01,
151,8.0,77.8026723704801,2002-08-01,
152,9.0,77.19081294939713,2002-09-01,
153,10.0,76.35208931345807,2002-10-01,
154,11.0,74.0401470238871,2002-11-01,
155,12.0,72.14045018504191,2002-12-01,
156,1.0,69.86015222647185,2003-01-01,
157,2.0,70.18651306532092,2003-02-01,
158,3.0,72.55083255787494,2003-03-01,
159,4.0,73.08776984426682,2003-04-01,
160,5.0,75.01904399827862,2003-05-01,
161,6.0,76.13856778490486,2003-06-01,
162,7.0,77.77421188369598,2003-07-01,
163,8.0,78.24679975183207,2003-08-01,
164,9.0,77.6545596814056,2003-09-01,
165,10.0,77.51944423267584,2003-10-01,
166,11.0,74.59627633974155,2003-11-01,
167,12.0,71.98380113458143,2003-12-01,
168,1.0,70.85823809264011,2004-01-01,
169,2.0,72.6393373875635,2004-02-01,
170,3.0,70.60344704564267,2004-03-01,
171,4.0,72.16580675291561,2004-04-01,
172,5.0,74.73627175414858,2004-05-01,
173,6.0,76.32460995421937,2004-06-01,
174,7.0,77.64083584429608,2004-07-01,
175,8.0,77.99995087279306,2004-08-01,
176,9.0,78.11199288046743,2004-09-01,
177,10.0,76.82722051737441,2004-10-01,
178,11.0,74.49182657559311,2004-11-01,
179,12.0,72.04293743517218,2004-12-01,
180,1.0,70.89729071856667,2005-01-01,
181,2.0,70.59592660471779,2005-02-01,
182,3.0,70.00237583000958,2005-03-01,
183,4.0,72.78553901733196,2005-04-01,
184,5.0,75.24341015876071,2005-05-01,
185,6.0,76.14724093213734,2005-06-01,
186,7.0,76.59877539828625,2005-07-01,
187,8.0,77.37869667472211,2005-08-01,
188,9.0,77.37327413927585,2005-09-01,
189,10.0,75.4824525759878,2005-10-01,
190,11.0,74.25949460085678,2005-11-01,
191,12.0,71.81049445108164,2005-12-01,
192,1.0,71.64414879269397,2006-01-01,
193,2.0,69.3001392676133,2006-02-01,
194,3.0,71.24202339146237,2006-03-01,
195,4.0,71.24838264369565,2006-04-01,
196,5.0,71.9597066200411,2006-05-01,
197,6.0,75.89589549301687,2006-06-01,
198,7.0,76.53190725676161,2006-07-01,
199,8.0,77.27061185956148,2006-08-01,
200,9.0,77.04117179460084,2006-09-01,
201,10.0,76.09277860271871,2006-10-01,
202,11.0,75.2181483713954,2006-11-01,
203,12.0,72.37831896657919,2006-12-01,
204,1.0,71.68154295606628,2007-01-01,
205,2.0,70.1887511385151,2007-02-01,
206,3.0,71.97492315505187,2007-03-01,
207,4.0,72.22480984682163,2007-04-01,
208,5.0,74.3851897943908,2007-05-01,
209,6.0,76.18519064589306,2007-06-01,
210,7.0,76.92705433245334,2007-07-01,
211,8.0,77.48537544460075,2007-08-01,
212,9.0,77.26291244095674,2007-09-01,
213,10.0,76.03931283917557,2007-10-01,
214,11.0,73.90440668160286,2007-11-01,
215,12.0,72.26420224494632,2007-12-01,
216,1.0,69.69692674796116,2008-01-01,
217,2.0,70.97854071279681,2008-02-01,
218,3.0,73.02167661577501,2008-03-01,
219,4.0,72.58226381427596,2008-04-01,
220,5.0,74.51944402286618,2008-05-01,
221,6.0,75.45919330509349,2008-06-01,
222,7.0,76.81616667369538,2008-07-01,
223,8.0,76.74497535441994,2008-08-01,
224,9.0,76.39361665466225,2008-09-01,
225,10.0,75.6614556579205,2008-10-01,
226,11.0,73.83865890794387,2008-11-01,
227,12.0,72.2933173525407,2008-12-01,
228,1.0,69.62607171152547,2009-01-01,
229,2.0,68.97423001548617,2009-02-01,
230,3.0,69.1937557258592,2009-03-01,
231,4.0,70.25075050550424,2009-04-01,
232,5.0,73.53988026682705,2009-05-01,
233,6.0,76.57788104241585,2009-06-01,
234,7.0,76.98343892698635,2009-07-01,
235,8.0,77.62837631525306,2009-08-01,
236,9.0,77.5495405118854,2009-09-01,
237,10.0,77.63704427477802,2009-10-01,
238,11.0,73.99769392804015,2009-11-01,
239,12.0,70.7587425373926,2009-12-01,
240,1.0,70.97874440540201,2010-01-01,
241,2.0,69.29553106005513,2010-02-01,
242,3.0,69.90409495180798,2010-03-01,
243,4.0,70.83447360671744,2010-04-01,
244,5.0,74.10160860205548,2010-05-01,
245,6.0,75.2012952259399,2010-06-01,
246,7.0,75.94129678723067,2010-07-01,
247,8.0,75.98814025327219,2010-08-01,
248,9.0,76.76853324436317,2010-09-01,
249,10.0,75.76092359413636,2010-10-01,
250,11.0,73.8252016533834,2010-11-01,
251,12.0,71.63893167346123,2010-12-01,
252,1.0,69.84558595139201,2011-01-01,
253,2.0,71.61543747162538,2011-02-01,
254,3.0,72.01201819637609,2011-03-01,
255,4.0,73.31155172628763,2011-04-01,
256,5.0,73.71287393791039,2011-05-01,
257,6.0,73.41008761832651,2011-06-01,
258,7.0,75.5562443801844,2011-07-01,
259,8.0,76.49223163924779,2011-08-01,
260,9.0,76.42746208496375,2011-09-01,
261,10.0,75.06477329701579,2011-10-01,
262,11.0,72.78219424535983,2011-11-01,
263,12.0,70.65696130135558,2011-12-01,
264,1.0,71.40891125272825,2012-01-01,
265,2.0,70.71385374256536,2012-02-01,
266,3.0,70.16728342930313,2012-03-01,
267,4.0,71.61324047786566,2012-04-01,
268,5.0,73.19206987916161,2012-05-01,
269,6.0,74.29484886995463,2012-06-01,
270,7.0,75.01754342563441,2012-07-01,
271,8.0,76.33912167732757,2012-08-01,
272,9.0,74.71613236226437,2012-09-01,
273,10.0,75.80911188773712,2012-10-01,
274,11.0,72.66273805558696,2012-11-01,
275,12.0,71.61151908177325,2012-12-01,
276,1.0,69.2208937275155,2013-01-01,
277,2.0,69.33109260749492,2013-02-01,
278,3.0,68.87837668464967,2013-03-01,
279,4.0,72.20261895514261,2013-04-01,
280,5.0,73.23173994068549,2013-05-01,
281,6.0,74.8867695682736,2013-06-01,
282,7.0,76.16660487879668,2013-07-01,
283,8.0,77.0146939163264,2013-08-01,
284,9.0,76.95284255551184,2013-09-01,
285,10.0,75.82396027583019,2013-10-01,
286,11.0,73.21721267098545,2013-11-01,
287,12.0,72.11427231632334,2013-12-01,
288,1.0,69.3853348641936,2014-01-01,
289,2.0,71.12006196017163,2014-02-01,
290,3.0,70.48626648260209,2014-03-01,
291,4.0,71.77902372651522,2014-04-01,
292,5.0,73.58727857513482,2014-05-01,
293,6.0,74.80943481127343,2014-06-01,
294,7.0,76.63836990336128,2014-07-01,
295,8.0,77.20690344245307,2014-08-01,
296,9.0,78.27186747874535,2014-09-01,
297,10.0,76.66257435444277,2014-10-01,
298,11.0,73.78949284799447,2014-11-01,
299,12.0,70.31170435943199,2014-12-01,
300,1.0,69.16443989786183,2015-01-01,
301,2.0,70.57955252971294,2015-02-01,
302,3.0,69.37767932519233,2015-03-01,
303,4.0,73.63849497857251,2015-04-01,
304,5.0,72.97958824003734,2015-05-01,
305,6.0,75.71111685375156,2015-06-01,
306,7.0,78.19848786735855,2015-07-01,
307,8.0,79.36919835181513,2015-08-01,
308,9.0,78.29068134495213,2015-09-01,
309,10.0,75.7925064695091,2015-10-01,
310,11.0,75.40569985816802,2015-11-01,
311,12.0,73.27600383954041,2015-12-01,
312,1.0,71.12953773502547,2016-01-01,
313,2.0,70.70987830968596,2016-02-01,
314,3.0,71.0474484251628,2016-03-01,
315,4.0,73.73163780669904,2016-04-01,
316,5.0,74.24966312957469,2016-05-01,
317,6.0,75.32847968698732,2016-06-01,
318,7.0,77.1922245345358,2016-07-01,
319,8.0,77.64859417430624,2016-08-01,
320,9.0,77.38375372664532,2016-09-01,
321,10.0,76.16750876168564,2016-10-01,
322,11.0,74.11807895337374,2016-11-01,
323,12.0,71.78053137453057,2016-12-01,
324,1.0,70.41250767257509,2017-01-01,
325,2.0,70.54085091004384,2017-02-01,
326,3.0,73.13630753956463,2017-03-01,
327,4.0,73.72588299626963,2017-04-01,
328,5.0,74.9609081953237,2017-05-01,
329,6.0,76.66083294967288,2017-06-01,
330,7.0,78.11391640735388,2017-07-01,
331,8.0,78.19299651209042,2017-08-01,
332,9.0,77.89618805032477,2017-09-01,
333,10.0,76.10160068713205,2017-10-01,
334,11.0,73.06022254493855,2017-11-01,
335,12.0,69.76163282687425,2017-12-01,
336,1.0,71.75583209759768,2018-01-01,
337,2.0,70.69029783094362,2018-02-01,
338,3.0,70.5869857704515,2018-03-01,
339,4.0,72.83891098350821,2018-04-01,
340,5.0,73.84805828789752,2018-05-01,
341,6.0,76.29233551292408,2018-06-01,
342,7.0,78.010381290972,2018-07-01,
343,8.0,78.02825842853835,2018-08-01,
344,9.0,77.82784601387253,2018-09-01,
345,10.0,76.72573447720029,2018-10-01,
346,11.0,74.43466929810677,2018-11-01,
347,12.0,72.09259232880873,2018-12-01,
348,1.0,70.60160319010417,2019-01-01,
349,2.0,67.82469889322917,2019-02-01,
350,3.0,69.52206759982639,2019-03-01,
351,4.0,73.13365885416667,2019-04-01,
352,5.0,74.60921223958334,2019-05-01,
353,6.0,77.39322374131945,2019-06-01,
354,7.0,78.25827907986111,2019-07-01,
355,8.0,79.81771918402778,2019-08-01,
356,9.0,79.58987087673611,2019-09-01,
357,10.0,77.764892578125,2019-10-01,
358,11.0,75.92829047309027,2019-11-01,
359,12.0,74.109521484375,2019-12-01,
360,1.0,72.07109375,2020-01-01,
361,2.0,70.48829752604166,2020-02-01,
362,3.0,70.87127821180556,2020-03-01,
363,4.0,73.20880533854167,2020-04-01,
364,5.0,74.73433159722222,2020-05-01,
365,6.0,76.73050130208333,2020-06-01,
366,7.0,77.51372612847223,2020-07-01,
367,8.0,78.48288845486111,2020-08-01,
368,9.0,78.62982855902777,2020-09-01,
369,10.0,77.69877387152778,2020-10-01,
370,11.0,75.73741590711805,2020-11-01,
371,12.0,73.80909288194445,2020-12-01,
372,1.0,72.45439453125,2021-01-01,
373,2.0,70.82487250434028,2021-02-01,
374,3.0,70.90319552951388,2021-03-01,
375,4.0,71.59958767361111,2021-04-01,
376,5.0,74.14599066840279,2021-05-01,
377,6.0,75.91531575520833,2021-06-01,
378,7.0,76.83200412326389,2021-07-01,
379,8.0,76.76907009548611,2021-08-01,
380,9.0,76.53122829861111,2021-09-01,
381,10.0,75.72750108506945,2021-10-01,
382,11.0,75.12876790364584,2021-11-01,
383,12.0,71.65957302517361,2021-12-01,
384,1.0,71.50909288194444,2022-01-01,
385,2.0,71.98149685329861,2022-02-01,
386,3.0,73.05658637152777,2022-03-01,
387,4.0,73.71939019097222,2022-04-01,
388,5.0,74.71410861545138,2022-05-01,
389,6.0,76.02720269097222,2022-06-01,
390,7.0,76.55315212673611,2022-07-01,
