Year,Month,tmean_f,datetime,Temp
1990.0,1.0,72.48287217881943,1990-01-01,
1990.0,2.0,70.35071614583333,1990-02-01,
1990.0,3.0,71.0989230685764,1990-03-01,
1990.0,4.0,74.25311414930556,1990-04-01,
1990.0,5.0,74.91304796006943,1990-05-01,
1990.0,6.0,77.09659288194445,1990-06-01,
1990.0,7.0,77.74043511284722,1990-07-01,
1990.0,8.0,79.20616319444446,1990-08-01,
1990.0,9.0,79.0821506076389,1990-09-01,
1990.0,10.0,77.89397243923611,1990-10-01,
1990.0,11.0,75.21592610677084,1990-11-01,
1990.0,12.0,72.24666612413193,1990-12-01,
1991.0,1.0,70.69900173611111,1991-01-01,
1991.0,2.0,72.07849392361112,1991-02-01,
1991.0,3.0,71.30817599826389,1991-03-01,
1991.0,4.0,73.73681640625,1991-04-01,
1991.0,5.0,75.53376464843751,1991-05-01,
1991.0,6.0,76.57325846354166,1991-06-01,
1991.0,7.0,77.96228841145833,1991-07-01,
1991.0,8.0,79.20602213541667,1991-08-01,
1991.0,9.0,78.87222764756945,1991-09-01,
1991.0,10.0,78.04945746527778,1991-10-01,
1991.0,11.0,77.26903483072917,1991-11-01,
1991.0,12.0,73.87383355034723,1991-12-01,
1992.0,1.0,70.95469563802084,1992-01-01,
1992.0,2.0,70.64114854600695,1992-02-01,
1992.0,3.0,72.4369140625,1992-03-01,
1992.0,4.0,73.03955349392362,1992-04-01,
1992.0,5.0,75.03455403645833,1992-05-01,
1992.0,6.0,78.19636501736112,1992-06-01,
1992.0,7.0,78.57161458333334,1992-07-01,
1992.0,8.0,79.4698947482639,1992-08-01,
1992.0,9.0,78.96852213541666,1992-09-01,
1992.0,10.0,77.44559461805557,1992-10-01,
1992.0,11.0,75.02340766059028,1992-11-01,
1992.0,12.0,74.74602322048611,1992-12-01,
1993.0,1.0,69.80515950520834,1993-01-01,
1993.0,2.0,69.54420844184028,1993-02-01,
1993.0,3.0,71.45914171006945,1993-03-01,
1993.0,4.0,74.76318901909723,1993-04-01,
1993.0,5.0,74.9887451171875,1993-05-01,
1993.0,6.0,77.591845703125,1993-06-01,
1993.0,7.0,77.96207682291666,1993-07-01,
1993.0,8.0,78.90214843749999,1993-08-01,
1993.0,9.0,78.93903537326389,1993-09-01,
1993.0,10.0,77.38114420572917,1993-10-01,
1993.0,11.0,74.11200086805556,1993-11-01,
1993.0,12.0,72.95727810329862,1993-12-01,
1994.0,1.0,70.20415581597223,1994-01-01,
1994.0,2.0,71.58103298611111,1994-02-01,
1994.0,3.0,71.68330078125001,1994-03-01,
1994.0,4.0,73.36066623263889,1994-04-01,
1994.0,5.0,75.67440863715278,1994-05-01,
1994.0,6.0,76.98369954427083,1994-06-01,
1994.0,7.0,78.9177734375,1994-07-01,
1994.0,8.0,79.82846137152778,1994-08-01,
1994.0,9.0,79.44385308159723,1994-09-01,
1994.0,10.0,78.50472547743055,1994-10-01,
1994.0,11.0,76.41807725694444,1994-11-01,
1994.0,12.0,73.20975206163195,1994-12-01,
1995.0,1.0,71.84738498263889,1995-01-01,
1995.0,2.0,71.30626627604167,1995-02-01,
1995.0,3.0,73.07606336805556,1995-03-01,
1995.0,4.0,73.48874240451389,1995-04-01,
1995.0,5.0,74.67175564236112,1995-05-01,
1995.0,6.0,77.45052083333334,1995-06-01,
1995.0,7.0,78.7021484375,1995-07-01,
1995.0,8.0,78.75547960069444,1995-08-01,
1995.0,9.0,78.98569878472222,1995-09-01,
1995.0,10.0,78.43505316840279,1995-10-01,
1995.0,11.0,76.21133083767361,1995-11-01,
1995.0,12.0,74.87505425347223,1995-12-01,
1996.0,1.0,72.61749403211806,1996-01-01,
1996.0,2.0,70.07839084201389,1996-02-01,
1996.0,3.0,70.80078667534723,1996-03-01,
1996.0,4.0,75.33763020833334,1996-04-01,
1996.0,5.0,75.94444715711805,1996-05-01,
1996.0,6.0,78.44992404513889,1996-06-01,
1996.0,7.0,79.24992947048611,1996-07-01,
1996.0,8.0,79.8470703125,1996-08-01,
1996.0,9.0,79.24740668402777,1996-09-01,
1996.0,10.0,79.14100477430556,1996-10-01,
1996.0,11.0,75.35436740451388,1996-11-01,
1996.0,12.0,71.94881998697917,1996-12-01,
1997.0,1.0,70.42064887152779,1997-01-01,
1997.0,2.0,73.31999782986111,1997-02-01,
1997.0,3.0,73.48351236979167,1997-03-01,
1997.0,4.0,74.16807183159722,1997-04-01,
1997.0,5.0,73.76322157118057,1997-05-01,
1997.0,6.0,78.00118272569445,1997-06-01,
1997.0,7.0,78.282080078125,1997-07-01,
1997.0,8.0,79.50638020833333,1997-08-01,
1997.0,9.0,79.72866753472223,1997-09-01,
1997.0,10.0,78.43505316840279,1997-10-01,
1997.0,11.0,74.54644639756944,1997-11-01,
1997.0,12.0,71.92831488715277,1997-12-01,
1998.0,1.0,70.68215060763889,1998-01-01,
1998.0,2.0,70.98102756076389,1998-02-01,
1998.0,3.0,73.21426323784722,1998-03-01,
1998.0,4.0,73.33977593315973,1998-04-01,
1998.0,5.0,73.69104275173612,1998-05-01,
1998.0,6.0,75.580078125,1998-06-01,
1998.0,7.0,76.726806640625,1998-07-01,
1998.0,8.0,78.29318576388889,1998-08-01,
1998.0,9.0,78.00162760416666,1998-09-01,
1998.0,10.0,77.24530707465277,1998-10-01,
1998.0,11.0,75.62444118923611,1998-11-01,
1998.0,12.0,72.76831597222221,1998-12-01,
1999.0,1.0,72.15498589409722,1999-01-01,
1999.0,2.0,71.94753689236111,1999-02-01,
1999.0,3.0,72.82681206597222,1999-03-01,
1999.0,4.0,73.65903862847222,1999-04-01,
1999.0,5.0,75.7134765625,1999-05-01,
1999.0,6.0,76.74429796006945,1999-06-01,
1999.0,7.0,77.31448567708334,1999-07-01,
1999.0,8.0,78.32939453125,1999-08-01,
1999.0,9.0,78.02910698784723,1999-09-01,
1999.0,10.0,77.00251193576389,1999-10-01,
1999.0,11.0,74.96111382378473,1999-11-01,
1999.0,12.0,72.99010959201388,1999-12-01,
2000.0,1.0,71.17685004340277,2000-01-01,
2000.0,2.0,72.39471028645833,2000-02-01,
2000.0,3.0,74.02731391059028,2000-03-01,
2000.0,4.0,72.70770670572917,2000-04-01,
2000.0,5.0,75.84480251736112,2000-05-01,
2000.0,6.0,77.68525933159722,2000-06-01,
2000.0,7.0,78.58566623263889,2000-07-01,
2000.0,8.0,79.03340928819443,2000-08-01,
2000.0,9.0,78.52325303819444,2000-09-01,
2000.0,10.0,78.260498046875,2000-10-01,
2000.0,11.0,75.95755479600695,2000-11-01,
2000.0,12.0,73.77828233506943,2000-12-01,
2001.0,1.0,73.85232747395833,2001-01-01,
2001.0,2.0,72.81872829861112,2001-02-01,
2001.0,3.0,73.30200737847223,2001-03-01,
2001.0,4.0,74.47118326822917,2001-04-01,
2001.0,5.0,75.62300889756945,2001-05-01,
2001.0,6.0,77.28088650173612,2001-06-01,
2001.0,7.0,78.86207682291666,2001-07-01,
2001.0,8.0,79.42222222222222,2001-08-01,
2001.0,9.0,79.35288628472222,2001-09-01,
