,Year,Month,ET,datetime
0,2001.0,1.0,1.8694791666666668,2001-01-01
1,2001.0,2.0,1.4617708333333332,2001-02-01
2,2001.0,3.0,1.7666666666666668,2001-03-01
3,2001.0,4.0,2.0675000000000003,2001-04-01
4,2001.0,5.0,1.956041666666667,2001-05-01
5,2001.0,6.0,1.95150462962963,2001-06-01
6,2001.0,7.0,2.278645833333333,2001-07-01
7,2001.0,8.0,1.9229166666666668,2001-08-01
8,2001.0,9.0,1.641041666666667,2001-09-01
9,2001.0,10.0,1.7261458333333335,2001-10-01
10,2001.0,11.0,1.4503125,2001-11-01
11,2001.0,12.0,1.4766666666666668,2001-12-01
12,2002.0,1.0,2.3509375,2002-01-01
13,2002.0,2.0,2.4006578947368427,2002-02-01
14,2002.0,3.0,3.345520833333333,2002-03-01
15,2002.0,4.0,3.291354166666667,2002-04-01
16,2002.0,5.0,3.964895833333333,2002-05-01
17,2002.0,6.0,3.4590625000000004,2002-06-01
18,2002.0,7.0,2.9179166666666667,2002-07-01
19,2002.0,8.0,2.46265625,2002-08-01
20,2002.0,9.0,1.7034375000000002,2002-09-01
21,2002.0,10.0,2.153958333333333,2002-10-01
22,2002.0,11.0,2.29890625,2002-11-01
23,2002.0,12.0,1.5675520833333334,2002-12-01
24,2003.0,1.0,1.613697916666667,2003-01-01
25,2003.0,2.0,2.3158854166666667,2003-02-01
26,2003.0,3.0,2.846510416666667,2003-03-01
27,2003.0,4.0,2.6390625,2003-04-01
28,2003.0,5.0,2.228802083333333,2003-05-01
29,2003.0,6.0,2.075416666666667,2003-06-01
30,2003.0,7.0,2.4317708333333337,2003-07-01
31,2003.0,8.0,2.1885937500000003,2003-08-01
32,2003.0,9.0,1.7144791666666666,2003-09-01
33,2003.0,10.0,1.6381578947368425,2003-10-01
34,2003.0,11.0,1.5127314814814818,2003-11-01
35,2003.0,12.0,1.7696875,2003-12-01
36,2004.0,1.0,2.558854166666668,2004-01-01
37,2004.0,2.0,2.7842708333333337,2004-02-01
38,2004.0,3.0,3.6311458333333335,2004-03-01
39,2004.0,4.0,3.6057291666666673,2004-04-01
40,2004.0,5.0,3.578958333333333,2004-05-01
41,2004.0,6.0,3.315208333333333,2004-06-01
42,2004.0,7.0,2.64625,2004-07-01
43,2004.0,8.0,3.0601562500000004,2004-08-01
44,2004.0,9.0,2.3868750000000003,2004-09-01
45,2004.0,10.0,2.283229166666666,2004-10-01
46,2004.0,11.0,2.5661458333333336,2004-11-01
47,2004.0,12.0,2.1063541666666667,2004-12-01
48,2005.0,1.0,2.36265625,2005-01-01
49,2005.0,2.0,2.626197916666667,2005-02-01
50,2005.0,3.0,2.915364583333333,2005-03-01
51,2005.0,4.0,3.2581250000000006,2005-04-01
52,2005.0,5.0,3.41734375,2005-05-01
53,2005.0,6.0,2.973410087719298,2005-06-01
54,2005.0,7.0,2.6856770833333337,2005-07-01
55,2005.0,8.0,1.89109375,2005-08-01
56,2005.0,9.0,2.984270833333334,2005-09-01
57,2005.0,10.0,3.0682291666666663,2005-10-01
58,2005.0,11.0,2.6275000000000004,2005-11-01
59,2005.0,12.0,1.5584375,2005-12-01
60,2006.0,1.0,1.6746875,2006-01-01
61,2006.0,2.0,2.0016447368421058,2006-02-01
62,2006.0,3.0,2.4458333333333337,2006-03-01
63,2006.0,4.0,3.1755208333333336,2006-04-01
64,2006.0,5.0,3.2456770833333337,2006-05-01
65,2006.0,6.0,2.801927083333333,2006-06-01
66,2006.0,7.0,2.9145833333333333,2006-07-01
67,2006.0,8.0,2.4047395833333334,2006-08-01
68,2006.0,9.0,2.1177083333333333,2006-09-01
69,2006.0,10.0,2.4015625,2006-10-01
70,2006.0,11.0,2.6532291666666667,2006-11-01
71,2006.0,12.0,1.4836458333333336,2006-12-01
72,2007.0,1.0,1.94953125,2007-01-01
73,2007.0,2.0,2.111041666666667,2007-02-01
74,2007.0,3.0,2.7897395833333336,2007-03-01
75,2007.0,4.0,2.7042968750000003,2007-04-01
76,2007.0,5.0,2.406041666666667,2007-05-01
77,2007.0,6.0,2.580416666666667,2007-06-01
78,2007.0,7.0,2.91046875,2007-07-01
79,2007.0,8.0,2.06625,2007-08-01
80,2007.0,9.0,2.2547916666666667,2007-09-01
81,2007.0,10.0,1.9907291666666669,2007-10-01
82,2007.0,11.0,2.3673958333333336,2007-11-01
83,2007.0,12.0,2.6030208333333333,2007-12-01
84,2008.0,1.0,2.4344791666666667,2008-01-01
85,2008.0,2.0,2.8048958333333336,2008-02-01
86,2008.0,3.0,2.817708333333333,2008-03-01
87,2008.0,4.0,2.695138888888889,2008-04-01
88,2008.0,5.0,2.2411458333333334,2008-05-01
89,2008.0,6.0,2.4505729166666668,2008-06-01
90,2008.0,7.0,2.497708333333333,2008-07-01
91,2008.0,8.0,2.0343229166666665,2008-08-01
92,2008.0,9.0,1.8350520833333333,2008-09-01
93,2008.0,10.0,1.7908991228070177,2008-10-01
94,2008.0,11.0,2.1323464912280703,2008-11-01
95,2008.0,12.0,2.2772916666666667,2008-12-01
96,2009.0,1.0,2.515,2009-01-01
97,2009.0,2.0,2.28734375,2009-02-01
98,2009.0,3.0,2.935729166666667,2009-03-01
99,2009.0,4.0,2.8282291666666666,2009-04-01
100,2009.0,5.0,2.5152083333333333,2009-05-01
101,2009.0,6.0,2.8115104166666667,2009-06-01
102,2009.0,7.0,3.4795833333333333,2009-07-01
103,2009.0,8.0,2.6123958333333333,2009-08-01
104,2009.0,9.0,1.9928125,2009-09-01
105,2009.0,10.0,2.2255208333333334,2009-10-01
106,2009.0,11.0,2.279739583333334,2009-11-01
107,2009.0,12.0,1.8655208333333333,2009-12-01
108,2010.0,1.0,2.0537828947368424,2010-01-01
109,2010.0,2.0,2.010520833333333,2010-02-01
110,2010.0,3.0,2.5786979166666666,2010-03-01
111,2010.0,4.0,2.8034375,2010-04-01
112,2010.0,5.0,2.9977083333333336,2010-05-01
113,2010.0,6.0,2.733697916666667,2010-06-01
114,2010.0,7.0,2.560885416666667,2010-07-01
115,2010.0,8.0,2.1364583333333336,2010-08-01
116,2010.0,9.0,2.035526315789474,2010-09-01
117,2010.0,10.0,1.8945833333333333,2010-10-01
118,2010.0,11.0,2.046875,2010-11-01
119,2010.0,12.0,1.3586458333333336,2010-12-01
120,2011.0,1.0,1.92625,2011-01-01
121,2011.0,2.0,2.4395312500000004,2011-02-01
122,2011.0,3.0,2.63703125,2011-03-01
123,2011.0,4.0,2.869895833333333,2011-04-01
124,2011.0,5.0,3.0928125,2011-05-01
125,2011.0,6.0,3.5038020833333343,2011-06-01
126,2011.0,7.0,2.637291666666667,2011-07-01
127,2011.0,8.0,2.38,2011-08-01
128,2011.0,9.0,1.702395833333333,2011-09-01
129,2011.0,10.0,1.7056250000000002,2011-10-01
130,2011.0,11.0,1.851875,2011-11-01
131,2011.0,12.0,1.733177083333333,2011-12-01
132,2012.0,1.0,1.97875,2012-01-01
133,2012.0,2.0,2.0515625,2012-02-01
134,2012.0,3.0,2.7284375,2012-03-01
135,2012.0,4.0,2.9346491228070177,2012-04-01
136,2012.0,5.0,2.539791666666667,2012-05-01
