Year,Month,tmean_f,datetime
1990,1,77.1814724392361,1990-01-01
1990,2,76.24884982638889,1990-02-01
1990,3,76.96697591145833,1990-03-01
1990,4,80.901904296875,1990-04-01
1990,5,80.43803168402778,1990-05-01
1990,6,82.16628689236111,1990-06-01
1990,7,83.89377170138889,1990-07-01
1990,8,85.55344509548611,1990-08-01
1990,9,85.47099609375,1990-09-01
1990,10,83.87252604166667,1990-10-01
1990,11,81.121484375,1990-11-01
1990,12,78.47057291666667,1990-12-01
1991,1,78.48559027777779,1991-01-01
1991,2,79.7759548611111,1991-02-01
1991,3,76.22435438368055,1991-03-01
1991,4,79.32194010416667,1991-04-01
1991,5,81.60690646701389,1991-05-01
1991,6,82.54940321180555,1991-06-01
1991,7,83.97974717881945,1991-07-01
1991,8,84.43448350694445,1991-08-01
1991,9,85.01825086805556,1991-09-01
1991,10,84.359619140625,1991-10-01
1991,11,83.46922743055555,1991-11-01
1991,12,79.06009657118057,1991-12-01
1992,1,77.74748806423611,1992-01-01
1992,2,77.66552191840279,1992-02-01
1992,3,79.24213324652777,1992-03-01
1992,4,80.58968641493055,1992-04-01
1992,5,81.3124240451389,1992-05-01
1992,6,84.11027018229167,1992-06-01
1992,7,84.41725260416666,1992-07-01
1992,8,85.26537000868055,1992-08-01
1992,9,84.72845594618056,1992-09-01
1992,10,83.91440972222222,1992-10-01
1992,11,80.92073567708334,1992-11-01
1992,12,80.12885199652777,1992-12-01
1993,1,76.88907335069445,1993-01-01
1993,2,76.8478759765625,1993-02-01
1993,3,78.07543402777779,1993-03-01
1993,4,80.3075412326389,1993-04-01
1993,5,81.17916666666667,1993-05-01
1993,6,83.60379231770833,1993-06-01
1993,7,83.85129665798611,1993-07-01
1993,8,84.94417317708333,1993-08-01
1993,9,85.88998480902778,1993-09-01
1993,10,84.32180989583333,1993-10-01
1993,11,79.350341796875,1993-11-01
1993,12,77.82433810763888,1993-12-01
1994,1,76.3526584201389,1994-01-01
1994,2,76.91136881510417,1994-02-01
1994,3,77.28482530381945,1994-03-01
1994,4,78.65786675347222,1994-04-01
1994,5,80.76927083333334,1994-05-01
1994,6,82.51500651041667,1994-06-01
1994,7,84.12526041666666,1994-07-01
1994,8,85.3048828125,1994-08-01
1994,9,85.02833116319445,1994-09-01
1994,10,84.16741536458333,1994-10-01
1994,11,80.60060763888889,1994-11-01
1994,12,77.8892361111111,1994-12-01
1995,1,77.08509385850695,1995-01-01
1995,2,78.0078884548611,1995-02-01
1995,3,78.86775173611112,1995-03-01
1995,4,78.90496961805556,1995-04-01
1995,5,80.4940646701389,1995-05-01
1995,6,82.63939344618055,1995-06-01
1995,7,83.82791883680557,1995-07-01
1995,8,84.70923394097221,1995-08-01
1995,9,85.87975260416667,1995-09-01
1995,10,84.51546223958334,1995-10-01
1995,11,82.26824001736111,1995-11-01
1995,12,81.06570638020833,1995-12-01
1996,1,79.18038194444445,1996-01-01
1996,2,76.98338758680555,1996-02-01
