,oldMonth,tmean_f,Month,Temp
0,January,70.20307543871998,February,69.97234625168788
1,February,69.97234625168788,March,70.52828723295235
2,March,70.52828723295235,April,71.86910897714121
3,April,71.86910897714121,May,73.18403418270158
4,May,73.18403418270158,June,74.87153697072723
5,June,74.87153697072723,July,75.99489994755498
6,July,75.99489994755498,August,76.66912367078993
7,August,76.66912367078993,September,76.56767412350501
8,September,76.56767412350501,October,75.71191308292342
9,October,75.71191308292342,November,73.78590969509548
10,November,73.78590969509548,December,71.6595509470245
11,December,71.6595509470245,January,70.20307543871998
