Year,Month,tmean_f,datetime
1990.0,1.0,71.72351345486112,1990-01-01
1990.0,2.0,70.33602973090278,1990-02-01
1990.0,3.0,70.21591796875,1990-03-01
1990.0,4.0,73.0085910373264,1990-04-01
1990.0,5.0,74.02472873263889,1990-05-01
1990.0,6.0,75.82229817708333,1990-06-01
1990.0,7.0,76.53168402777777,1990-07-01
1990.0,8.0,77.94078776041667,1990-08-01
1990.0,9.0,78.70096571180555,1990-09-01
1990.0,10.0,77.50287000868056,1990-10-01
1990.0,11.0,75.53925781250001,1990-11-01
1990.0,12.0,72.41297471788195,1990-12-01
1991.0,1.0,70.38594835069445,1991-01-01
1991.0,2.0,72.03897026909723,1991-02-01
1991.0,3.0,70.88501519097223,1991-03-01
1991.0,4.0,72.8999267578125,1991-04-01
1991.0,5.0,74.30315483940973,1991-05-01
1991.0,6.0,75.53281521267361,1991-06-01
1991.0,7.0,76.82946234809029,1991-07-01
1991.0,8.0,77.75741644965278,1991-08-01
1991.0,9.0,77.48562825520833,1991-09-01
1991.0,10.0,76.71139865451389,1991-10-01
1991.0,11.0,76.17970377604166,1991-11-01
1991.0,12.0,73.15699327256945,1991-12-01
1992.0,1.0,70.31856553819443,1992-01-01
1992.0,2.0,70.3193115234375,1992-02-01
1992.0,3.0,71.32415635850694,1992-03-01
1992.0,4.0,73.30940755208334,1992-04-01
1992.0,5.0,75.0045166015625,1992-05-01
1992.0,6.0,77.10733506944445,1992-06-01
1992.0,7.0,77.63519965277777,1992-07-01
1992.0,8.0,78.557421875,1992-08-01
1992.0,9.0,78.57177734375,1992-09-01
1992.0,10.0,77.36465928819445,1992-10-01
1992.0,11.0,75.278076171875,1992-11-01
1992.0,12.0,74.01204427083334,1992-12-01
1993.0,1.0,70.00717230902778,1993-01-01
1993.0,2.0,69.28920627170139,1993-02-01
1993.0,3.0,70.76580403645833,1993-03-01
1993.0,4.0,73.68325737847222,1993-04-01
1993.0,5.0,74.09125705295139,1993-05-01
1993.0,6.0,76.57992621527777,1993-06-01
1993.0,7.0,77.62508680555555,1993-07-01
1993.0,8.0,78.16523437500001,1993-08-01
1993.0,9.0,78.021484375,1993-09-01
1993.0,10.0,76.87010633680555,1993-10-01
1993.0,11.0,74.06563042534722,1993-11-01
1993.0,12.0,72.06250813802083,1993-12-01
1994.0,1.0,69.69232855902777,1994-01-01
1994.0,2.0,71.75515950520833,1994-02-01
1994.0,3.0,71.52616644965278,1994-03-01
1994.0,4.0,72.67770453559028,1994-04-01
1994.0,5.0,74.61053602430556,1994-05-01
1994.0,6.0,76.18740776909723,1994-06-01
1994.0,7.0,77.94580620659723,1994-07-01
1994.0,8.0,79.08064778645834,1994-08-01
1994.0,9.0,79.29422200520834,1994-09-01
1994.0,10.0,77.62630750868055,1994-10-01
1994.0,11.0,75.406591796875,1994-11-01
1994.0,12.0,71.79921332465278,1994-12-01
1995.0,1.0,70.4607177734375,1995-01-01
1995.0,2.0,70.95690375434027,1995-02-01
1995.0,3.0,72.36659342447916,1995-03-01
1995.0,4.0,72.91718478732639,1995-04-01
1995.0,5.0,74.04516059027777,1995-05-01
1995.0,6.0,76.41474066840277,1995-06-01
1995.0,7.0,77.86229383680555,1995-07-01
1995.0,8.0,77.99232855902778,1995-08-01
