,Unnamed: 0.1,Year,Month,NDVI,datetime
272,272,2022.0,October,0.3707123456790124,2022-10-01
273,273,2022.0,November,0.4326401234567902,2022-11-01
274,274,2022.0,December,0.4185907407407407,2022-12-01
275,275,2023.0,January,0.4325296296296295,2023-01-01
276,276,2023.0,February,0.4456481481481481,2023-02-01
277,277,2023.0,March,0.4085703703703705,2023-03-01
278,278,2023.0,April,0.4027796296296297,2023-04-01
279,279,2023.0,May,0.3416666666666667,2023-05-01
280,280,2023.0,June,0.4163839506172839,2023-06-01
281,281,2023.0,July,0.3685987654320988,2023-07-01
282,282,2023.0,August,0.3372981481481481,2023-08-01
283,283,2023.0,September,0.2696543209876543,2023-09-01
