oldMonth,Year,oldNDVI,Month,NDVI
January,2012.0,0.4259786302175191,October,0.3864499731615673
February,2011.5,0.4070298711755233,November,0.40618523886205044
March,2011.5,0.3649655662909286,December,0.41316759259259256
April,2011.5,0.3455462962962963,January,0.4259786302175191
May,2011.5,0.34144807098765434,February,0.4070298711755233
June,2011.5,0.35038773483628555,March,0.3649655662909286
July,2011.5,0.34258248456790125,April,0.3455462962962963
August,2011.5,0.3407997942386831,May,0.34144807098765434
September,2011.5,0.36415082304526747,June,0.35038773483628555
October,2011.0,0.3864499731615673,July,0.34258248456790125
November,2011.0,0.40618523886205044,August,0.3407997942386831
December,2011.0,0.41316759259259256,September,0.36415082304526747
