,oldMonth,Unnamed: 0.1,oldNDVI,Month,NDVI
0,January,143.0,0.5266900352733687,October,0.49369511540526034
1,February,138.0,0.5085227858293075,November,0.49211505636070857
2,March,139.0,0.4409338432635534,December,0.5141153198653199
3,April,140.0,0.38946886741814274,January,0.5266900352733687
4,May,141.0,0.38272145061728396,February,0.5085227858293075
5,June,142.0,0.41208357487922703,March,0.4409338432635534
6,July,143.0,0.4212930812757201,April,0.38946886741814274
7,August,144.0,0.4268807613168724,May,0.38272145061728396
8,September,145.0,0.43815833333333337,June,0.41208357487922703
9,October,140.0,0.49369511540526034,July,0.4212930812757201
10,November,141.0,0.49211505636070857,August,0.4268807613168724
11,December,142.0,0.5141153198653199,September,0.43815833333333337
