,Month,ET,datetime
262,November,3.3067708333333337,2022-11-01
263,December,2.7824652777777783,2022-12-01
264,January,3.283854166666667,2023-01-01
265,February,2.814236111111111,2023-02-01
266,March,3.814756944444445,2023-03-01
267,April,3.791435185185185,2023-04-01
268,May,3.738194444444444,2023-05-01
269,June,4.278472222222224,2023-06-01
270,July,4.394965277777778,2023-07-01
271,August,4.000347222222222,2023-08-01
272,September,3.649074074074074,2023-09-01
273,October,3.3402777777777777,2023-10-01
