oldMonth,RF_in,Month,RF
January,8.033850101283358,December,9.096981344874752
February,6.660266234207232,January,8.033850101283358
March,8.691025791581614,February,6.660266234207232
April,9.805143561785885,March,8.691025791581614
May,7.559973615988094,April,9.805143561785885
June,5.303530408733098,May,7.559973615988094
July,7.272904278436754,June,5.303530408733098
August,7.333554212330968,July,7.272904278436754
September,3.9574317334117906,August,7.333554212330968
October,4.653223080823118,September,3.9574317334117906
November,6.399291628805035,October,4.653223080823118
December,9.096981344874752,November,6.399291628805035
