,Year,Month,NDVI,datetime
0,2000.0,2.0,0.7517728395061729,2000-02-01
1,2000.0,3.0,0.6379765432098766,2000-03-01
2,2000.0,4.0,0.6195666666666665,2000-04-01
3,2000.0,5.0,0.619045061728395,2000-05-01
4,2000.0,6.0,0.5122351851851852,2000-06-01
5,2000.0,7.0,0.4822290123456791,2000-07-01
6,2000.0,8.0,0.570717901234568,2000-08-01
7,2000.0,9.0,0.5659395061728395,2000-09-01
8,2000.0,10.0,0.6014617283950617,2000-10-01
9,2000.0,11.0,0.7830098765432099,2000-11-01
10,2000.0,12.0,0.7922382716049383,2000-12-01
11,2001.0,1.0,,2001-01-01
12,2001.0,2.0,0.6522086419753087,2001-02-01
13,2001.0,3.0,,2001-03-01
14,2001.0,4.0,,2001-04-01
15,2001.0,5.0,0.4958641975308642,2001-05-01
16,2001.0,6.0,0.4032296296296297,2001-06-01
17,2001.0,7.0,0.5259814814814816,2001-07-01
18,2001.0,8.0,0.6423524691358026,2001-08-01
19,2001.0,9.0,0.5489407407407408,2001-09-01
20,2001.0,10.0,0.6326419753086421,2001-10-01
21,2001.0,11.0,0.7761870370370371,2001-11-01
22,2001.0,12.0,,2001-12-01
23,2002.0,1.0,,2002-01-01
24,2002.0,2.0,,2002-02-01
25,2002.0,3.0,0.6905567901234567,2002-03-01
26,2002.0,4.0,0.7921228395061729,2002-04-01
27,2002.0,5.0,0.7808228395061728,2002-05-01
28,2002.0,6.0,0.7168586419753087,2002-06-01
29,2002.0,7.0,0.7531172839506174,2002-07-01
30,2002.0,8.0,0.7647679012345678,2002-08-01
31,2002.0,9.0,0.744320987654321,2002-09-01
32,2002.0,10.0,0.7080728395061728,2002-10-01
33,2002.0,11.0,0.6767685185185186,2002-11-01
34,2002.0,12.0,0.7182814814814815,2002-12-01
35,2003.0,1.0,0.773608024691358,2003-01-01
36,2003.0,2.0,0.7753518518518518,2003-02-01
37,2003.0,3.0,0.7932117283950618,2003-03-01
38,2003.0,4.0,0.7521092592592593,2003-04-01
39,2003.0,5.0,0.614879012345679,2003-05-01
40,2003.0,6.0,0.6643296296296297,2003-06-01
41,2003.0,7.0,0.683537037037037,2003-07-01
42,2003.0,8.0,0.6426358024691358,2003-08-01
43,2003.0,9.0,0.6612395061728394,2003-09-01
44,2003.0,10.0,0.565267901234568,2003-10-01
45,2003.0,11.0,0.5638783950617284,2003-11-01
46,2003.0,12.0,0.8102067901234568,2003-12-01
47,2004.0,1.0,0.8663512345679012,2004-01-01
48,2004.0,2.0,0.8484833333333335,2004-02-01
49,2004.0,3.0,0.8350938271604939,2004-03-01
50,2004.0,4.0,0.8020882716049382,2004-04-01
51,2004.0,5.0,0.825566049382716,2004-05-01
52,2004.0,6.0,0.7917092592592593,2004-06-01
53,2004.0,7.0,0.674938888888889,2004-07-01
54,2004.0,8.0,0.7228160493827162,2004-08-01
55,2004.0,9.0,0.6103302469135803,2004-09-01
56,2004.0,10.0,0.7743530864197531,2004-10-01
57,2004.0,11.0,0.8584740740740741,2004-11-01
58,2004.0,12.0,0.8282037037037038,2004-12-01
59,2005.0,1.0,0.8650759259259257,2005-01-01
60,2005.0,2.0,0.8262228395061729,2005-02-01
61,2005.0,3.0,0.7614135802469136,2005-03-01
62,2005.0,4.0,0.7885376543209878,2005-04-01
63,2005.0,5.0,0.7585450617283951,2005-05-01
64,2005.0,6.0,0.7118228395061728,2005-06-01
65,2005.0,7.0,0.7344117283950616,2005-07-01
66,2005.0,8.0,0.7116993827160495,2005-08-01
67,2005.0,9.0,0.6309283950617285,2005-09-01
68,2005.0,10.0,0.683616049382716,2005-10-01
69,2005.0,11.0,0.6751697530864198,2005-11-01
70,2005.0,12.0,0.7047882716049382,2005-12-01
71,2006.0,1.0,0.750325925925926,2006-01-01
72,2006.0,2.0,0.8046901234567901,2006-02-01
73,2006.0,3.0,0.8006117283950618,2006-03-01
74,2006.0,4.0,0.7969462962962963,2006-04-01
75,2006.0,5.0,0.7361135802469136,2006-05-01
76,2006.0,6.0,0.6809944444444446,2006-06-01
77,2006.0,7.0,0.7030987654320987,2006-07-01
78,2006.0,8.0,0.6677734567901235,2006-08-01
79,2006.0,9.0,0.5632864197530865,2006-09-01
80,2006.0,10.0,0.7034925925925926,2006-10-01
81,2006.0,11.0,0.7170666666666666,2006-11-01
82,2006.0,12.0,0.7393203703703703,2006-12-01
83,2007.0,1.0,0.7450827160493827,2007-01-01
84,2007.0,2.0,0.752512962962963,2007-02-01
85,2007.0,3.0,0.7827709876543212,2007-03-01
86,2007.0,4.0,0.6602753086419754,2007-04-01
87,2007.0,5.0,0.577575925925926,2007-05-01
88,2007.0,6.0,0.4418074074074074,2007-06-01
89,2007.0,7.0,0.5349327160493828,2007-07-01
