Unnamed: 0,Year,Month,ET,datetime
262,2022.0,November,2.5618333333333334,2022-11-01
263,2022.0,December,2.423791666666667,2022-12-01
264,2023.0,January,3.136833333333334,2023-01-01
265,2023.0,February,2.750375,2023-02-01
266,2023.0,March,3.76525,2023-03-01
267,2023.0,April,4.334666666666666,2023-04-01
268,2023.0,May,3.7535,2023-05-01
269,2023.0,June,4.223125,2023-06-01
270,2023.0,July,3.734625,2023-07-01
271,2023.0,August,3.3845,2023-08-01
272,2023.0,September,3.103166666666667,2023-09-01
273,2023.0,October,2.8235,2023-10-01
