oldMonth,Unnamed: 0,Year,oldET,Month,ET
January,132.0,2012.0,2.9557130735521566,November,2.671524705954122
February,133.0,2012.0,3.1219504856580644,December,2.5178697759818687
March,134.0,2012.0,3.556552097057532,January,2.9557130735521566
April,135.0,2012.0,3.5805426782778325,February,3.1219504856580644
May,136.0,2012.0,3.5538928499037197,March,3.556552097057532
June,137.0,2012.0,3.610358363678041,April,3.5805426782778325
July,138.0,2012.0,3.5058789589758903,May,3.5538928499037197
August,139.0,2012.0,3.580579710144928,June,3.610358363678041
September,140.0,2012.0,3.362558807754356,July,3.5058789589758903
October,141.0,2012.0,3.1231899153476546,August,3.580579710144928
November,136.0,2011.5,2.671524705954122,September,3.362558807754356
December,137.0,2011.5,2.5178697759818687,October,3.1231899153476546
