,oldMonth,oldTemp,Month,Temp
0,January,71.69097801797713,August,77.2068169002573
1,February,71.5513696720429,September,77.14230274162796
2,March,72.22715123120662,October,76.42658807017521
3,April,73.30968817323814,November,74.86765765891923
4,May,74.60563058187641,December,72.94833038103914
5,June,75.68375405125153,January,71.69097801797713
6,July,76.53032531128315,February,71.5513696720429
7,August,77.2068169002573,March,72.22715123120662
8,September,77.14230274162796,April,73.30968817323814
9,October,76.42658807017521,May,74.60563058187641
10,November,74.86765765891923,June,75.68375405125153
11,December,72.94833038103914,July,76.53032531128315
