oldMonth,oldNDVI,Month,NDVI
January,0.6170621386869454,October,0.5814945607126495
February,0.5359940686637973,November,0.6306415115168066
March,0.47690763026107974,December,0.6486476248281973
April,0.3569733698030709,January,0.6170621386869454
May,0.3483674383571005,February,0.5359940686637973
June,0.34276150208026707,March,0.47690763026107974
July,0.42239110173210004,April,0.3569733698030709
August,0.49910279171645694,May,0.3483674383571005
September,0.5140317833548145,June,0.34276150208026707
October,0.5814945607126495,July,0.42239110173210004
November,0.6306415115168066,August,0.49910279171645694
December,0.6486476248281973,September,0.5140317833548145
