,oldMonth,RF_in,Month,RF
0,January,7.577494955193318,September,2.2186070934893287
1,February,6.7485055186266685,October,4.088761877426528
2,March,9.480884965650635,November,7.885718289697134
3,April,8.770008415763893,December,9.002814327387494
4,May,3.5173294361289695,January,7.577494955193318
5,June,1.7803118067216335,February,6.7485055186266685
6,July,2.697539187532973,March,9.480884965650635
7,August,4.4436144791073575,April,8.770008415763893
8,September,2.2186070934893287,May,3.5173294361289695
9,October,4.088761877426528,June,1.7803118067216335
10,November,7.885718289697134,July,2.697539187532973
11,December,9.002814327387494,August,4.4436144791073575
