Year,Month,Day,RF_in
2025,7,1,0.0665666489903822
2025,7,2,0.1134553562393107
2025,7,3,0.0244997939922562
2025,7,4,0.0368774649908466
2025,7,9,0.0260974909620265
2025,7,10,0.025093315571729
2025,7,11,0.020536178169091
2025,7,12,0.028820851807044
2025,7,13,0.0005738964879942
2025,7,16,0.010816147274812
2025,7,17,0.110800813467449
2025,7,18,0.0395295565962919
2025,7,19,0.0305230774892898
2025,7,20,0.0077115433712307
2025,7,21,0.0244967995642966
2025,7,22,0.0071259329220962
2025,7,23,0.0021424638387168
2025,7,24,0.0137384577280487
2025,7,25,0.0228717429790643
2025,7,26,2.0716403809907407e-05
2025,7,27,0.0327564980043455
2025,7,28,0.0219576600064477
2025,7,29,0.0063351276746653
2025,7,30,0.0035394887088906
2025,7,31,0.06076524240740931
